1,
Captured 17.jpg,11
Captured 18.jpg,21
Captured 19.jpg,29
Captured 21.jpg,12
Captured 22.jpg,24
Captured 23.jpg,13
Captured 24.jpg,17
Captured 25.jpg,18
Captured 27.jpg,22
Captured 29.jpg,22
Captured 30.jpg,19
Captured 31.jpg,23
Captured 32.jpg,25
Captured 35.jpg,63
Captured 36.jpg,103
Captured 37.jpg,61
Captured 38.jpg,80
Captured 39.jpg,100
Captured 40.jpg,104
Média,38.35
10,
Captured 10.jpg,9
Captured 11.jpg,4
Captured 13.jpg,10
Captured 14.jpg,3
Captured 15.jpg,6
Captured 16.jpg,5
Captured 17.jpg,3
Captured 3.jpg,4
Captured 42.jpg,1
Captured 45.jpg,5
Captured 46.jpg,10
Captured 49.jpg,5
Captured 5.jpg,6
Captured 51.jpg,19
Captured 6.jpg,4
Captured 7.jpg,2
Captured 8.jpg,6
Captured 9.jpg,4
Frozen.jpg,4
Média,5.5
100,
Captured 60x 1.jpg,1
Captured 60x 10.jpg,1
Captured 60x 12.jpg,1
Captured 60x 16.jpg,5
Captured 60x 17.jpg,3
Captured 60x 19.jpg,2
Captured 60x 20.jpg,3
Captured 60x 3.jpg,1
Captured 60x 4.jpg,5
Captured 60x 7.jpg,2
Captured 60x.jpg,1
Frozen.jpg,3
Média,1.4
1000,
Captured 20X.jpg,5
Captured 60x 1.jpg,1
Captured 60x 2.jpg,8
Frozen.jpg,1
Média,0.75
